BookingId,ProviderId,UserId,PurchasedAtDate,PurchasedAtTime,GrossTransactionalAmount,Amount,VatAmount,VatRatePercent,ProductId
delijn_ca29d4a7-69ed-47d6-906d-4ad0eed6fe12,delijn,e9bd5192-0751-11ed-bb64-2f273a1f2711,2022-10-04,09:15:04,17.0,16.04,0.96,6.0,4010
delijn_b26dfeef-f1f2-444a-acc9-0e772a2db36d,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-10,11:23:15,17.0,14.05,2.95,21.0,4010
delijn_70dc1b05-4b19-41c6-8606-3e314aa5fb9f,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-10,11:23:15,17.0,14.05,2.95,21.0,4010
delijn_e232e7ed-56a4-4405-828f-9d5de5c5a313,delijn,e9bd5192-0751-11ed-bb64-2f273a1f2711,2022-10-10,13:21:04,2.5,2.36,0.14,6.0,4014
delijn_8a12c2e3-77e5-40b6-9083-536dded4c436,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-13,12:06:31,17.0,14.05,2.95,21.0,4010
delijn_9dee00c2-8c06-4656-bbb0-024c391988a5,delijn,4fec01e2-f92a-11ec-8da2-af994b8e82f3,2022-10-14,14:08:34,2.5,2.36,0.14,6.0,4014
delijn_3c3b22a5-77d9-45dd-8fda-7eaca3a25d3c,delijn,4fec01e2-f92a-11ec-8da2-af994b8e82f3,2022-10-14,14:08:34,2.5,2.36,0.14,6.0,4014
delijn_5ca0b02a-59bd-4ffd-a325-fcfc4807f878,delijn,4fec01e2-f92a-11ec-8da2-af994b8e82f3,2022-10-14,14:08:34,2.5,2.36,0.14,6.0,4014
delijn_a686e970-6074-4773-8d47-1f9d8de6f8c4,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_1a516438-f393-443c-b91f-9b53f17870d0,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_1f0a7da7-fbd5-4bbc-bfae-e4d688ef5e2c,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_4f731f2a-b906-49f7-8a68-d1d86ebd8ef1,delijn,e9bd5192-0751-11ed-bb64-2f273a1f2711,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_83796b61-fc6d-4793-b795-1a9d1ffead58,delijn,e9bd5192-0751-11ed-bb64-2f273a1f2711,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_6fbb2c38-2bd1-462d-86d8-baa8c18aa02c,delijn,81c8abf8-6107-11ed-ba97-939785c6f9df,2022-10-19,19:25:52,2.5,2.07,0.43,21.0,4014
delijn_b180bb01-bc4f-46a1-a617-eb95d381e881,delijn,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-20,12:07:00,2.5,2.36,0.14,6.0,4014
nmbs_eb779c24-454a-49a9-9d8d-4daab4c6a7ab,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-24,12:07:51,5.7,5.38,0.32,6.0,b259809e-45fb-4048-99d2-31ea21a62dba_40000071
delijn_6633d36d-23a7-45fa-bf6e-2915b5e75597,delijn,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-24,12:12:19,2.5,2.36,0.14,6.0,4014
delijn_f7ceccc6-1bf9-455d-81c9-89fd6f77c128,delijn,47167a30-6445-11ed-a975-4b4e3199b09f,2022-10-24,13:58:10,17.0,14.05,2.95,21.0,4010
nmbs_111f421d-1c35-43a3-8689-923cf5e1629d,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-24,16:25:43,9.2,8.68,0.52,6.0,00941425-2433-4d4c-b384-2da4d5ab9cdf_40000090
nmbs_28794d01-263a-436c-8cfa-4a41ac2ff839,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-25,08:21:39,7.5,7.08,0.42,6.0,27f57225-2b2f-431f-9ed4-8e4772b65ac2_40000090
nmbs_bdd09203-f6e7-445e-b2ca-5fb8b110f97f,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-25,12:56:43,84.0,79.25,4.75,6.0,f37a96ec-11f7-4597-8053-644efabaf42a_40000055
delijn_531cb19d-6c34-447a-a3cc-23c0be35bf85,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,17:57:54,2.5,2.36,0.14,6.0,4014
delijn_b0ba86a8-b4b0-4541-8dea-3f1319b73867,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,18:06:48,2.5,2.36,0.14,6.0,4014
delijn_6718ac81-0df4-4c0d-8f35-18f8f106a39b,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,18:06:48,2.5,2.36,0.14,6.0,4014
delijn_34cd02a8-ab52-49de-8483-af68c2fd9a8c,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,18:06:48,2.5,2.36,0.14,6.0,4014
delijn_a2312a28-cb8d-4b0b-be92-458c7c2e2450,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,18:06:48,2.5,2.36,0.14,6.0,4014
delijn_b8d7365a-71cc-4232-acd9-f9b1e63328eb,delijn,c32e9876-2f77-11ed-b1f5-2f21efbcd8c9,2022-10-25,18:07:05,2.5,2.36,0.14,6.0,4014
delijn_dcd4961e-d234-41ac-a257-8235633499ac,delijn,4fec01e2-f92a-11ec-8da2-af994b8e82f3,2022-10-25,22:09:43,2.5,2.36,0.14,6.0,4014
nmbs_96a0c0da-3228-4db4-a3ad-6a6487267ee8,nmbs,bf9cdce0-29d2-11ed-9d34-9b9d14a7675e,2022-10-26,11:33:31,27.0,25.47,1.53,6.0,80d4fd53-ed36-4f96-8f32-bdfa9f286418_40000056
nmbs_fe2941de-f7f8-4693-ba71-995394261b17,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-26,11:37:16,27.0,25.47,1.53,6.0,fcebdf22-41c0-4cbe-86f0-9bed8822d1ef_40000056
nmbs_cee276d5-a575-4213-93fc-9390889168d2,nmbs,9394f70c-0107-11ed-b32d-771bbb18a580,2022-10-26,11:38:52,84.0,79.25,4.75,6.0,fe8013cd-b11b-46da-b0f1-fd7898a7db7c_40000055
nmbs_ae79d882-be2f-48f1-8406-b8aac52567a3,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:44:14,9.5,8.96,0.54,6.0,d3ca3725-1658-48ff-b905-d93bc3f06d34_40000105
nmbs_a673f2b5-05d4-4ba8-9f12-eeb79a6c44d0,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:50:57,5.7,5.38,0.32,6.0,6c52b981-f18d-4376-bc5a-aceef782181d_40000079
nmbs_866b758f-a0a5-48f7-b633-30f6203dc4c0,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,14:58:19,9.5,8.96,0.54,6.0,f434b0a8-5e7a-4d15-9049-b02377f8911f_40000105
nmbs_9ffecdcf-4cc6-45e9-8d76-3b670591cc76,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,15:16:05,14.1,13.30,0.80,6.0,5c3c8a28-b157-444e-b2ec-7a71d87fdfe3_40000090
nmbs_7ed2e483-5662-402a-a220-1bbb5b50d70e,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,15:34:17,12.2,11.51,0.69,6.0,c53e0d9b-0f51-4a33-8192-fa9e12dd80c4_40000145
nmbs_057108f2-c74a-44cb-a22f-23e035d2d880,nmbs,3cfa52ee-2f82-11ed-930d-af4d6696baa1,2022-10-26,16:11:00,10.6,10.0,0.6,6.0,b658ab37-5a3e-4434-adf1-f919970ec27d_40000106
